drawerCode,stockQty,productName,productCode,description,minStock
A1_0,21,--,--,--,10
A1_1,21,--,--,--,10
A1_2,21,--,--,--,10
A1_3,21,--,--,--,10
A1_4,21,--,--,--,10
A2_0,21,--,--,--,10
A2_1,21,--,--,--,10
A2_2,21,--,--,--,10
A2_3,21,--,--,--,10
A2_4,21,--,--,--,10
A3_0,21,--,--,--,10
A3_1,21,--,--,--,10
A3_2,21,--,--,--,10
A3_3,21,--,--,--,10
A3_4,21,--,--,--,10
A4_0,21,--,--,--,10
A4_1,21,--,--,--,10
A4_2,21,--,--,--,10
A4_3,21,--,--,--,10
A4_4,21,--,--,--,10
B1_0,21,--,--,--,10
B1_1,21,--,--,--,10
B2_0,21,--,--,--,10
C1_1,21,--,--,--,10
C1_2,21,--,--,--,10
C1_3,21,--,--,--,10
C2_1,21,--,--,--,10
C2_2,21,--,--,--,10
C2_3,21,--,--,--,10
C2_4,21,--,--,--,10
C2_CP2_0_I,1,POWER RELAY + INTERFACE RELAY_2,0.1-ELE-PRB-10,yes,10
C2_CP2_0_II,54,TEST1,--,--,20
C2_CP2_0_III,54,TEST2,--,--,30
C2_CP2_0_IV,200,NAILS,0.1-FIX-NAI-10,NAILS,55
C2_CP2_0_V,222,RIVETS,0.1-FIX-RIV-10,RIVETS,110
C2_CP2_0_I,255,POWER RELAY + INTERFACE RELAY_2,0.1-ELE-PRB-10,POWER RELAY + INTERFACE RELAY_2,10
C2_CP2_0_II,200,--,--,--,10
C2_CP2_0_III,200,--,--,--,10
C2_CP2_0_IV,74,NAILS,0.1-FIX-NAI-10,NAILS,10
C2_CP2_0_V,41,RIVETS,0.1-FIX-RIV-10,RIVETS,10
C2_CP2_1_I,66,M8x30 mm,0.1-FIX-MMM-10,M8x30 mm,10
C2_CP2_1_II,200,--,--,--,10
C2_CP2_1_III,200,--,--,--,10
C2_CP2_1_IV,666,MIX STUFF,0.1-FIX-MST-10,MIX STUFF,10
C2_CP2_1_V,555,SCREWS: SELF TAPPPERS,0.1-FIX-SST-10,SCREWS: SELF TAPPPERS,10
C2_CP2_2_I,200,--,--,--,10
C2_CP2_2_II,200,M8x75mm HEX BOLT ZINC PLATED,0.1-FIX-MHB-10,M8x75mm HEX BOLT ZINC PLATED,10
C2_CP2_2_III,888,MIX,0.1-OTH-MIX-10,MIX,10
C2_CP2_2_IV,200,MIX 2,0.1-OTH-M2-10,MIX 2,10
C2_CP2_2_V,6666,M6x35 mm BOLT NUTS,0.1-FIX-MMD-10,M6x35 mm BOLT NUTS,10
C2_CP2_3_I,56,M10x30 mm HEX BOLT ZINC PLATED,0.1-FIX-MME-10,M10x30 mm HEX BOLT ZINC PLATED,10
C2_CP2_3_II,74,M8x110 mm HEX BOLT ZINC PLATED,0.1-FIX-MMH-10,M8x110 mm HEX BOLT ZINC PLATED,10
C2_CP2_3_III,200,--,--,--,10
C2_CP2_3_IV,1000,M6x15 mm SCREW BOLT,0.1-FIX-MMS-10,M6x15 mm SCREW BOLT,10
C2_CP2_3_V,30,--,--,--,10
C2_CP2_4_I,90,6x55 mm Rod Hangerz (M8M10),0.1-ELE-6MR-10,6x55 mm Rod Hangerz (M8M10),10
C2_CP2_4_II,200,--,--,--,10
C2_CP2_4_III,200,--,--,--,10
